weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
2,60,71,228,71,2,tank,7955df44374cf37d29688202ef9a7984f78fb6cde2111da126d7bf9dd8a8b690,0.0,13.31866455078125,14.875,3.125,16.375,2.5,2.75,20.984375,179.8245,99.40006709098816,10.65000000357628,1.9703638491036084,21.11102699839374,71,True,True,False,after-actions
2,60,1,16,1,1,wall-middle,234622639b26f6b21c1e89889651dad8b1bfceca0cd3374c41fa365913606636,0.0,6.0,6.375,3.625,7.25,0.875,2.375,9.5,52.0427,1.399999976158142,0.15000000357627877,63.333331823349,678.5714401274313,1,True,False,False,after-actions
3,60,20,4944,160,14,continuous,0ff3321fb1c43d8d628c5d0db00c002c1c0944e98e188b4690adb89b86c806a7,0.0,12.5728759765625,13.5,3.5,13.75,13.375,13.5,25.21875,927.9077000000001,80.0,8.033333333333333,3.1392634854771786,31.5234375,160,True,False,False,after-actions
3,60,1,248,8,8,flat,4d24b5cd05295adf79346a0d5d9810909be0c64dd8b55a456e2d70642ffa49da,0.0,12.0206298828125,12.875,2.75,12.875,0.0,0.625,15.890625,84.1011,4.0,0.43333333333333335,36.67067307692307,397.265625,8,True,False,False,after-actions
3,60,1,124,8,8,high-drop,c3ba6d24ac1d091a9cfc7c10a9161d678063998b68d15120f244e49d30fa0a90,0.0,19.73406982421875,20.5,3.75,9.625,0.0,0.0,19.453125,78.56710000000001,4.0,0.43333333333333335,44.89182692307692,486.328125,8,True,False,False,after-actions
3,60,20,4944,160,14,moving,413b0e456539a3f492be62d7b30e5b18e1d5e94ec9b801bf049f4161b52ee0d0,0.0,12.5728759765625,13.5,8.0,13.75,0.375,13.5,81.59375,823.5072,80.0,8.033333333333333,10.156898340248963,101.99218750000001,160,True,False,False,after-actions
3,60,20,4944,160,14,sweep,b97f6dab9e83b0a3889e14e46567f7c5ff72145514456349fa9b85bab8face04,0.0,12.412841796875,13.25,14.0,13.5,0.625,13.0,105.53125,899.178,80.0,8.033333333333333,13.136670124481329,131.9140625,160,True,False,False,after-actions
3,60,25,6189,200,14,tank,9791e8ee35e3c9bba85004fa1f25f0b1a9e796c9f4d1887ce123ef19022bd1c4,0.0,12.5728759765625,13.5,3.5,13.75,13.375,13.5,25.6875,831.5933,100.0,10.033333333333333,2.560215946843854,25.687500000000004,200,True,True,False,after-actions
3,60,1,150,8,8,wall-middle,ad6ba9cdab8d672270de876e1d33b587e5144d92e64bd59b3b9d78e375c4b0f9,0.0,6.0,6.25,2.375,6.25,0.0,0.5,8.78125,90.1104,4.0,0.43333333333333335,20.264423076923077,219.53125,8,True,False,False,after-actions
4,60,20,63,20,3,continuous,2eb215d9a302394eb3b93197d18c5002135f5fb8100099133162646ecb9671d6,0.0,9.60101318359375,10.875,3.125,12.125,10.875,10.875,19.84375,101.32390000000001,16.00000023841858,1.7,11.67279411764706,124.0234356519068,20,True,False,False,after-actions
